Round,Date,Local_Time,GMT_Time,Home_Team,Away_Team
21,"Friday, 9 January 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,LDLC ASVEL VILLEURBANNE
21,"Friday, 9 January 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,ANADOLU EFES ISTANBUL
21,"Friday, 9 January 2026",20:30,19:30,FC BARCELONA,PARTIZAN MOZZART BET BELGRADE
,,,,,
22,"Thursday, 15 January 2026",20:00,16:00,DUBAI BASKETBALL,VIRTUS BOLOGNA
22,"Thursday, 15 January 2026",20:30,17:30,ANADOLU EFES ISTANBUL,BASKONIA VITORIA-GASTEIZ
22,"Thursday, 15 January 2026",20:30,18:30,FC BAYERN MUNICH,PANATHINAIKOS AKTOR ATHENS
22,"Thursday, 15 January 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,ZALGIRIS KAUNAS
22,"Thursday, 15 January 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,CRVENA ZVEZDA MERIDIANBET BELGRADE
22,"Thursday, 15 January 2026",20:45,19:45,PARIS BASKETBALL,AS MONACO
22,"Friday, 16 January 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,VALENCIA BASKET
22,"Friday, 16 January 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,HAPOEL IBI TEL AVIV
22,"Friday, 16 January 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,OLYMPIACOS PIRAEUS
22,"Friday, 16 January 2026",20:45,19:45,REAL MADRID,FC BARCELONA
,,,,,
23,"Tuesday, 20 January 2026",19:30,17:30,HAPOEL IBI TEL AVIV,ANADOLU EFES ISTANBUL
23,"Tuesday, 20 January 2026",19:00,18:00,AS MONACO,CRVENA ZVEZDA MERIDIANBET BELGRADE
23,"Tuesday, 20 January 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,ZALGIRIS KAUNAS
23,"Tuesday, 20 January 2026",21:15,19:15,OLYMPIACOS PIRAEUS,MACCABI RAPYD TEL AVIV
23,"Tuesday, 20 January 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,BASKONIA VITORIA-GASTEIZ
23,"Tuesday, 20 January 2026",20:30,19:30,FC BARCELONA,DUBAI BASKETBALL
23,"Tuesday, 20 January 2026",20:30,19:30,VALENCIA BASKET,PARIS BASKETBALL
23,"Tuesday, 20 January 2026",20:45,19:45,PARTIZAN MOZZART BET BELGRADE,FC BAYERN MUNICH
23,"Tuesday, 20 January 2026",20:45,19:45,REAL MADRID,EA7 EMPORIO ARMANI MILAN
23,"Wednesday, 21 January 2026",20:30,19:30,VIRTUS BOLOGNA,FENERBAHCE BEKO ISTANBUL
,,,,,
24,"Thursday, 22 January 2026",20:30,17:30,ANADOLU EFES ISTANBUL,OLYMPIACOS PIRAEUS
24,"Thursday, 22 January 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,PANATHINAIKOS AKTOR ATHENS
24,"Thursday, 22 January 2026",20:30,19:30,FC BAYERN MUNICH,VALENCIA BASKET
24,"Thursday, 22 January 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,ZALGIRIS KAUNAS
24,"Thursday, 22 January 2026",20:45,19:45,PARIS BASKETBALL,DUBAI BASKETBALL
24,"Thursday, 22 January 2026",20:45,19:45,REAL MADRID,AS MONACO
24,"Friday, 23 January 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,BASKONIA VITORIA-GASTEIZ
24,"Friday, 23 January 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,FC BARCELONA
24,"Friday, 23 January 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,HAPOEL IBI TEL AVIV
24,"Friday, 23 January 2026",20:30,19:30,VIRTUS BOLOGNA,CRVENA ZVEZDA MERIDIANBET BELGRADE
,,,,,
25,"Wednesday, 28 January 2026",20:45,19:45,PARIS BASKETBALL,REAL MADRID
25,"Thursday, 29 January 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,ANADOLU EFES ISTANBUL
25,"Thursday, 29 January 2026",20:00,18:00,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
25,"Thursday, 29 January 2026",21:15,19:15,OLYMPIACOS PIRAEUS,FC BARCELONA
25,"Thursday, 29 January 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,PARTIZAN MOZZART BET BELGRADE
